,0,1,2,3,4,5,6
213,2021-05-01 17:31:31,重庆,境外输入,20,0,15,0
214,2021-05-01 17:31:31,重庆,涪陵区,5,0,5,0
215,2021-05-01 17:31:31,重庆,长寿区,22,0,22,0
216,2021-05-01 17:31:31,重庆,綦江区,23,0,23,0
217,2021-05-01 17:31:31,重庆,荣昌区,9,0,9,0
218,2021-05-01 17:31:31,重庆,沙坪坝区,9,0,9,0
219,2021-05-01 17:31:31,重庆,江北区,28,0,28,0
220,2021-05-01 17:31:31,重庆,铜梁区,10,0,10,0
221,2021-05-01 17:31:31,重庆,丰都县,10,0,10,0
222,2021-05-01 17:31:31,重庆,潼南区,18,0,18,0
223,2021-05-01 17:31:31,重庆,南岸区,15,0,15,0
224,2021-05-01 17:31:31,重庆,九龙坡区,21,0,20,1
225,2021-05-01 17:31:31,重庆,万州区,118,0,114,4
226,2021-05-01 17:31:31,重庆,两江新区,17,0,17,0
227,2021-05-01 17:31:31,重庆,巴南区,6,0,6,0
228,2021-05-01 17:31:31,重庆,奉节县,22,0,22,0
229,2021-05-01 17:31:31,重庆,渝中区,20,0,20,0
230,2021-05-01 17:31:31,重庆,垫江县,20,0,20,0
231,2021-05-01 17:31:31,重庆,云阳县,25,0,25,0
232,2021-05-01 17:31:31,重庆,石柱县,15,0,15,0
233,2021-05-01 17:31:31,重庆,大足区,14,0,14,0
234,2021-05-01 17:31:31,重庆,渝北区,17,0,17,0
235,2021-05-01 17:31:31,重庆,彭水县,2,0,2,0
236,2021-05-01 17:31:31,重庆,忠县,21,0,21,0
237,2021-05-01 17:31:31,重庆,开州区,21,0,20,1
238,2021-05-01 17:31:31,重庆,合川区,23,0,23,0
239,2021-05-01 17:31:31,重庆,巫溪县,14,0,14,0
240,2021-05-01 17:31:31,重庆,大渡口区,7,0,7,0
241,2021-05-01 17:31:31,重庆,巫山县,10,0,10,0
242,2021-05-01 17:31:31,重庆,万盛经开区,1,0,1,0
